epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
18,,,999,0.1888708472251892,,
18,,,1006,,0.4415689706802368,0.30689239501953125
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
,9.999884627599724e-05,9.999884627599724e-05,1049,,,
19,,,1049,0.2768614590167999,,
19,,,1059,,0.45306041836738586,0.3119564652442932
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
,9.995042636621126e-05,9.995042636621126e-05,1099,,,
20,,,1099,0.2178368717432022,,
20,,,1112,,0.4459550082683563,0.3095715343952179
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
,9.983086778537412e-05,9.983086778537412e-05,1149,,,
21,,,1149,0.3341084122657776,,
21,,,1165,,0.4495192766189575,0.31693822145462036
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
,9.964034097769186e-05,9.964034097769186e-05,1199,,,
22,,,1199,0.14965297281742096,,
22,,,1218,,0.4534108638763428,0.3179909586906433
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
,9.937911756056115e-05,9.937911756056115e-05,1249,,,
23,,,1249,0.2397897094488144,,
23,,,1271,,0.4227973520755768,0.28848502039909363
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
,9.90475699373478e-05,9.90475699373478e-05,1299,,,
24,,,1299,0.15479423105716705,,
24,,,1324,,0.4319794774055481,0.3056885004043579
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
,9.864617076648428e-05,9.864617076648428e-05,1349,,,
